Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Adams Glacier,Exists,4.56001,,58.7968,-135.898131,7/1/2015,52.96,AK,Alaska
Addison Glacier,Exists,1.22506,,59.931708,-149.783404,7/1/2015,52.96,AK,Alaska
Agassiz Glacier,Exists,764.325,,60.09895,-140.72458,2/1/2006,36.88,AK,Alaska
Ahern Glacier,Exists,0.580561,,48.846769,-113.787226,8/1/2006,56.8,MT,Montana
Aho Glacier,Exists,3.70558,,60.808181,-152.661891,7/1/2015,52.96,AK,Alaska
Aialik Glacier,Exists,141.533,,60.046454,-149.826589,7/1/2015,52.96,AK,Alaska
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,AK,Alaska
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,AL,Alabama
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,NC,North Carolina
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,NM,New Mexico
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,IL,Illinois
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,MD,Maryland
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,SC,South Carolina
Allen Glacier,Exists,173.528,,60.755014,-144.8796,12/1/2014,52.53,NE,Nebraska
Amherst Glacier,Exists,10.0483,,60.994106,-147.82036,12/1/2014,52.53,CA,California
Amherst Glacier,Exists,10.0483,,60.994106,-147.82036,12/1/2014,52.53,AK,Alaska
Anchor Glacier,Exists,6.86658,,59.796297,-150.115076,7/1/2015,52.96,AK,Alaska
Anderson Glacier,Exists,8.04314,,61.143,-146.75188,12/1/2014,52.53,AK,Alaska
Andrews Glacier,Exists,2.33744,,58.904692,-136.365758,7/1/2015,52.96,AK,Alaska
Annin Glacier,Exists,0.234944,,61.108638,-146.688177,7/1/2015,52.96,AK,Alaska
Applegate Glacier,Exists,1.55352,,60.451341,-148.591409,12/1/2014,52.53,CA,California
Applegate Glacier,Exists,1.55352,,60.451341,-148.591409,12/1/2014,52.53,AK,Alaska
Arapaho Glacier,Exists,0.243677,,40.023306,-105.64467,8/1/2006,56.8,IA,Iowa
Arapaho Glacier,Exists,0.243677,,40.023306,-105.64467,8/1/2006,56.8,CO,Colorado
Arikaree Glacier,Exists,0.052556,,40.050409,-105.641977,8/1/2006,56.8,IA,Iowa
