,Unnamed: 0,Date,Value,Anomaly,Year,Month,Day,fulldate
0,0,1990-01-01,36.48,6.36,1990,1,1,1990-1-1
1,1,1990-02-01,36.59,4.62,1990,2,1,1990-2-1
2,2,1990-03-01,39.31,4.16,1990,3,1,1990-3-1
3,3,1990-04-01,42.61,3.49,1990,4,1,1990-4-1
4,4,1990-05-01,45.86,2.53,1990,5,1,1990-5-1
5,5,1990-06-01,49.92,2.4,1990,6,1,1990-6-1
6,6,1990-07-01,53.25,2.0,1990,7,1,1990-7-1
7,7,1990-08-01,55.62,1.77,1990,8,1,1990-8-1
8,8,1990-09-01,56.92,1.85,1990,9,1,1990-9-1
9,9,1990-10-01,56.63,1.66,1990,10,1,1990-10-1
10,10,1990-11-01,55.56,1.79,1990,11,1,1990-11-1
11,11,1990-12-01,53.5,1.49,1990,12,1,1990-12-1
12,12,1991-01-01,29.5,-0.62,1991,1,1,1991-1-1
13,13,1991-02-01,34.66,2.69,1991,2,1,1991-2-1
14,14,1991-03-01,37.54,2.39,1991,3,1,1991-3-1
15,15,1991-04-01,41.29,2.17,1991,4,1,1991-4-1
16,16,1991-05-01,45.42,2.09,1991,5,1,1991-5-1
17,17,1991-06-01,49.36,1.84,1991,6,1,1991-6-1
18,18,1991-07-01,52.86,1.61,1991,7,1,1991-7-1
19,19,1991-08-01,55.37,1.52,1991,8,1,1991-8-1
20,20,1991-09-01,56.43,1.36,1991,9,1,1991-9-1
21,21,1991-10-01,56.26,1.29,1991,10,1,1991-10-1
22,22,1991-11-01,54.73,0.96,1991,11,1,1991-11-1
23,23,1991-12-01,53.15,1.14,1991,12,1,1991-12-1
24,24,1992-01-01,33.62,3.5,1992,1,1,1992-1-1
25,25,1992-02-01,36.66,4.69,1992,2,1,1992-2-1
26,26,1992-03-01,39.33,4.18,1992,3,1,1992-3-1
27,27,1992-04-01,42.63,3.51,1992,4,1,1992-4-1
28,28,1992-05-01,46.33,3.0,1992,5,1,1992-5-1
29,29,1992-06-01,49.85,2.33,1992,6,1,1992-6-1
30,30,1992-07-01,52.9,1.65,1992,7,1,1992-7-1
31,31,1992-08-01,55.01,1.16,1992,8,1,1992-8-1
32,32,1992-09-01,56.08,1.01,1992,9,1,1992-9-1
33,33,1992-10-01,55.93,0.96,1992,10,1,1992-10-1
34,34,1992-11-01,54.48,0.71,1992,11,1,1992-11-1
35,35,1992-12-01,52.59,0.58,1992,12,1,1992-12-1
36,36,1993-01-01,30.47,0.35,1993,1,1,1993-1-1
37,37,1993-02-01,30.81,-1.16,1993,2,1,1993-2-1
38,38,1993-03-01,34.47,-0.68,1993,3,1,1993-3-1
39,39,1993-04-01,38.32,-0.8,1993,4,1,1993-4-1
40,40,1993-05-01,42.83,-0.5,1993,5,1,1993-5-1
41,41,1993-06-01,46.89,-0.63,1993,6,1,1993-6-1
42,42,1993-07-01,50.5,-0.75,1993,7,1,1993-7-1
43,43,1993-08-01,53.17,-0.68,1993,8,1,1993-8-1
44,44,1993-09-01,54.29,-0.78,1993,9,1,1993-9-1
45,45,1993-10-01,54.16,-0.81,1993,10,1,1993-10-1
46,46,1993-11-01,52.8,-0.97,1993,11,1,1993-11-1
47,47,1993-12-01,51.25,-0.76,1993,12,1,1993-12-1
48,48,1994-01-01,29.34,-0.78,1994,1,1,1994-1-1
49,49,1994-02-01,30.61,-1.36,1994,2,1,1994-2-1
50,50,1994-03-01,35.24,0.09,1994,3,1,1994-3-1
51,51,1994-04-01,39.6,0.48,1994,4,1,1994-4-1
52,52,1994-05-01,43.81,0.48,1994,5,1,1994-5-1
53,53,1994-06-01,48.33,0.81,1994,6,1,1994-6-1
54,54,1994-07-01,51.94,0.69,1994,7,1,1994-7-1
55,55,1994-08-01,54.47,0.62,1994,8,1,1994-8-1
56,56,1994-09-01,55.7,0.63,1994,9,1,1994-9-1
57,57,1994-10-01,55.55,0.58,1994,10,1,1994-10-1
58,58,1994-11-01,54.37,0.6,1994,11,1,1994-11-1
59,59,1994-12-01,52.85,0.84,1994,12,1,1994-12-1
60,60,1995-01-01,33.08,2.96,1995,1,1,1995-1-1
61,61,1995-02-01,35.22,3.25,1995,2,1,1995-2-1
62,62,1995-03-01,37.93,2.78,1995,3,1,1995-3-1
63,63,1995-04-01,40.8,1.68,1995,4,1,1995-4-1
64,64,1995-05-01,44.36,1.03,1995,5,1,1995-5-1
65,65,1995-06-01,48.22,0.7,1995,6,1,1995-6-1
66,66,1995-07-01,51.84,0.59,1995,7,1,1995-7-1
67,67,1995-08-01,54.65,0.8,1995,8,1,1995-8-1
68,68,1995-09-01,55.76,0.69,1995,9,1,1995-9-1
69,69,1995-10-01,55.63,0.66,1995,10,1,1995-10-1
70,70,1995-11-01,54.39,0.62,1995,11,1,1995-11-1
71,71,1995-12-01,52.65,0.64,1995,12,1,1995-12-1
72,72,1996-01-01,29.7,-0.42,1996,1,1,1996-1-1
73,73,1996-02-01,32.7,0.73,1996,2,1,1996-2-1
74,74,1996-03-01,34.8,-0.35,1996,3,1,1996-3-1
75,75,1996-04-01,38.77,-0.35,1996,4,1,1996-4-1
76,76,1996-05-01,43.2,-0.13,1996,5,1,1996-5-1
77,77,1996-06-01,47.64,0.12,1996,6,1,1996-6-1
78,78,1996-07-01,51.35,0.1,1996,7,1,1996-7-1
79,79,1996-08-01,53.99,0.14,1996,8,1,1996-8-1
80,80,1996-09-01,55.04,-0.03,1996,9,1,1996-9-1
81,81,1996-10-01,54.9,-0.07,1996,10,1,1996-10-1
82,82,1996-11-01,53.51,-0.26,1996,11,1,1996-11-1
83,83,1996-12-01,51.88,-0.13,1996,12,1,1996-12-1
84,84,1997-01-01,29.97,-0.15,1997,1,1,1997-1-1
85,85,1997-02-01,33.01,1.04,1997,2,1,1997-2-1
86,86,1997-03-01,36.89,1.74,1997,3,1,1997-3-1
87,87,1997-04-01,39.65,0.53,1997,4,1,1997-4-1
88,88,1997-05-01,43.59,0.26,1997,5,1,1997-5-1
89,89,1997-06-01,47.71,0.19,1997,6,1,1997-6-1
90,90,1997-07-01,51.35,0.1,1997,7,1,1997-7-1
91,91,1997-08-01,53.89,0.04,1997,8,1,1997-8-1
