Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Brady Glacier,Exists,495.176,,58.385483,-136.675873,2006-05-01,46.77,AK,Alaska
Marvine/Hayden Glacier,Exists,297.56,,59.96069,-140.10202,2007-08-01,55.43,AK,Alaska
Johns Hopkins Glacier,Exists,162.882,,58.805875,-137.260638,2006-05-01,46.77,AK,Alaska
Finger Glacier,Exists,35.4017,,58.457594,-137.162412,2006-05-01,46.77,AK,Alaska
La Perouse Glacier,Exists,113.703,,58.52018,-137.328166,2006-05-01,46.77,AK,Alaska
Steller Glacier,Exists,741.556,,60.296987,-143.870037,2006-04-01,42.9,AK,Alaska
Seward Glacier,Exists,3211.8,,59.92591,-140.23062,2007-04-01,40.49,AK,Alaska
Tweedsmuir Glacier,Exists,501.581,,59.831715,-138.149354,2007-11-01,55.5,AK,Alaska
East Nunatak Glacier,Exists,70.7577,,59.786135,-138.772752,2007-05-01,44.85,AK,Alaska
Hidden Glacier,Exists,55.2523,,59.735487,-139.151114,2007-05-01,44.85,AK,Alaska
West Nunatak Glacier,Exists,87.6204,,59.750394,-138.915651,2007-05-01,44.85,AK,Alaska
East Yakutat Glacier,Exists,359.025,,59.50512,-138.72468,2007-05-01,44.85,AK,Alaska
Hubbard Glacier,Exists,2910.92,,60.002244,-139.36059,2007-08-01,55.43,AK,Alaska
Novatak Glacier,Exists,126.185,,59.421213,-138.38592,2007-05-01,44.85,AK,Alaska
Carroll Glacier,Exists,400.86,,59.028904,-136.459499,2007-04-01,40.49,AK,Alaska
Lamplugh Glacier,Exists,133.881,,58.874451,-136.935832,2006-05-01,46.77,AK,Alaska
Grand Plateau Glacier,Exists,383.689,,58.98445,-137.91017,2007-04-01,40.49,AK,Alaska
Hayden,Exists,73.4037,,59.978541,-140.019668,2007-10-01,56.65,AK,Alaska
Blossom Glacier,Exists,7.73568,,60.007745,-140.090472,2007-10-01,56.65,AK,Alaska
