Date,Value,Anomaly
199001,36.48,6.36
199002,36.59,4.62
199003,39.31,4.16
199004,42.61,3.49
199005,45.86,2.53
199006,49.92,2.40
199007,53.25,2.00
199008,55.62,1.77
199009,56.92,1.85
199010,56.63,1.66
199011,55.56,1.79
199012,53.50,1.49
199101,29.50,-0.62
199102,34.66,2.69
199103,37.54,2.39
199104,41.29,2.17
199105,45.42,2.09
199106,49.36,1.84
199107,52.86,1.61
199108,55.37,1.52
199109,56.43,1.36
199110,56.26,1.29
199111,54.73,0.96
199112,53.15,1.14
199201,33.62,3.50
199202,36.66,4.69
199203,39.33,4.18
199204,42.63,3.51
199205,46.33,3.00
199206,49.85,2.33
199207,52.90,1.65
199208,55.01,1.16
199209,56.08,1.01
199210,55.93,0.96
199211,54.48,0.71
199212,52.59,0.58
199301,30.47,0.35
199302,30.81,-1.16
199303,34.47,-0.68
199304,38.32,-0.80
199305,42.83,-0.50
199306,46.89,-0.63
199307,50.50,-0.75
199308,53.17,-0.68
199309,54.29,-0.78
199310,54.16,-0.81
199311,52.80,-0.97
199312,51.25,-0.76
199401,29.34,-0.78
199402,30.61,-1.36
199403,35.24,0.09
199404,39.60,0.48
199405,43.81,0.48
199406,48.33,0.81
199407,51.94,0.69
199408,54.47,0.62
199409,55.70,0.63
199410,55.55,0.58
199411,54.37,0.60
199412,52.85,0.84
199501,33.08,2.96
199502,35.22,3.25
199503,37.93,2.78
199504,40.80,1.68
199505,44.36,1.03
199506,48.22,0.70
199507,51.84,0.59
199508,54.65,0.80
199509,55.76,0.69
199510,55.63,0.66
199511,54.39,0.62
199512,52.65,0.64
199601,29.70,-0.42
199602,32.70,0.73
199603,34.80,-0.35
199604,38.77,-0.35
199605,43.20,-0.13
199606,47.64,0.12
199607,51.35,0.10
199608,53.99,0.14
199609,55.04,-0.03
199610,54.90,-0.07
199611,53.51,-0.26
199612,51.88,-0.13
199701,29.97,-0.15
199702,33.01,1.04
199703,36.89,1.74
199704,39.65,0.53
199705,43.59,0.26
199706,47.71,0.19
199707,51.35,0.10
199708,53.89,0.04
199709,55.28,0.21
199710,55.15,0.18
199711,53.85,0.08
199712,52.19,0.18
199801,34.99,4.87
199802,36.85,4.88
199803,38.34,3.19
199804,41.52,2.40
199805,45.71,2.38
199806,49.44,1.92
199807,53.16,1.91
199808,55.76,1.91
199809,57.23,2.16
199810,57.02,2.05
199811,55.91,2.14
199812,54.22,2.21
199901,33.78,3.66
199902,36.64,4.67
199903,38.68,3.53
199904,41.90,2.78
199905,45.53,2.20
199906,49.32,1.80
199907,52.89,1.64
199908,55.39,1.54
199909,56.38,1.31
199910,56.22,1.25
199911,55.48,1.71
199912,53.87,1.86
200001,33.57,3.45
200002,36.68,4.71
200003,39.79,4.64
200004,42.99,3.87
200005,47.01,3.68
200006,50.68,3.16
200007,53.99,2.74
200008,56.49,2.64
200009,57.50,2.43
200010,57.26,2.29
200011,55.51,1.74
200012,53.25,1.24
200101,31.37,1.25
200102,32.67,0.70
200103,35.60,0.45
200104,39.97,0.85
200105,44.54,1.21
200106,48.65,1.13
200107,52.33,1.08
200108,55.08,1.23
200109,56.25,1.18
200110,56.07,1.10
200111,55.28,1.51
200112,53.68,1.67
200201,34.48,4.36
200202,35.44,3.47
200203,36.80,1.65
200204,40.98,1.86
200205,44.63,1.30
200206,49.00,1.48
200207,52.83,1.58
200208,55.33,1.48
200209,56.61,1.54
200210,56.13,1.16
200211,54.84,1.07
200212,53.20,1.19
200301,32.81,2.69
200302,32.80,0.83
200303,36.30,1.15
200304,40.20,1.08
200305,44.35,1.02
200306,48.29,0.77
200307,52.17,0.92
200308,54.98,1.13
200309,56.08,1.01
200310,56.13,1.16
200311,54.88,1.11
200312,53.24,1.23
200401,30.36,0.24
200402,31.97,0.00
200403,37.11,1.96
200404,41.00,1.88
200405,45.18,1.85
200406,48.99,1.47
200407,52.40,1.15
200408,54.62,0.77
200409,55.84,0.77
200410,55.79,0.82
200411,54.72,0.95
200412,53.08,1.07
200501,33.39,3.27
200502,35.67,3.70
200503,37.88,2.73
200504,41.47,2.35
200505,45.09,1.76
200506,49.10,1.58
200507,52.84,1.59
200508,55.39,1.54
200509,56.72,1.65
200510,56.58,1.61
200511,55.53,1.76
200512,53.63,1.62
200601,38.93,8.81
200602,36.88,4.91
200603,38.79,3.64
200604,42.90,3.78
200605,46.77,3.44
200606,50.77,3.25
200607,54.43,3.18
200608,56.80,2.95
200609,57.52,2.45
200610,57.02,2.05
200611,55.85,2.08
200612,54.24,2.23
200701,31.35,1.23
200702,31.88,-0.09
200703,37.13,1.98
200704,40.49,1.37
200705,44.85,1.52
200706,49.02,1.50
200707,52.68,1.43
200708,55.43,1.58
200709,56.65,1.58
200710,56.65,1.68
200711,55.50,1.73
200712,53.64,1.63
200801,30.27,0.15
200802,32.49,0.52
200803,35.61,0.46
200804,39.30,0.18
200805,43.31,-0.02
200806,47.69,0.17
200807,51.45,0.20
200808,54.05,0.20
200809,55.29,0.22
200810,55.16,0.19
200811,54.14,0.37
200812,52.28,0.27
200901,31.05,0.93
200902,33.91,1.94
200903,36.90,1.75
200904,40.40,1.28
200905,44.64,1.31
200906,48.62,1.10
200907,52.05,0.80
200908,54.53,0.68
200909,55.84,0.77
200910,55.31,0.34
200911,54.44,0.67
200912,52.38,0.37
201001,30.67,0.55
201002,31.24,-0.73
201003,35.34,0.19
201004,39.82,0.70
201005,43.83,0.50
201006,48.27,0.75
201007,52.04,0.79
201008,54.79,0.94
201009,56.09,1.02
201010,56.09,1.12
201011,54.84,1.07
201012,52.98,0.97
201101,29.71,-0.41
201102,31.38,-0.59
201103,35.27,0.12
201104,39.45,0.33
201105,43.38,0.05
201106,47.78,0.26
201107,51.83,0.58
201108,54.72,0.87
201109,55.98,0.91
201110,55.89,0.92
201111,54.79,1.02
201112,53.17,1.16
201201,36.12,6.00
201202,36.82,4.85
201203,41.34,6.19
201204,44.68,5.56
201205,48.43,5.10
201206,52.11,4.59
201207,55.63,4.38
201208,57.90,4.05
201209,58.83,3.76
201210,58.34,3.37
201211,57.03,3.26
201212,55.27,3.26
201301,32.25,2.13
201302,33.51,1.54
201303,35.97,0.82
201304,39.39,0.27
201305,43.68,0.35
201306,48.13,0.61
201307,51.85,0.60
201308,54.49,0.64
201309,55.88,0.81
201310,55.63,0.66
201311,54.36,0.59
201312,52.42,0.41
201401,30.56,0.44
201402,31.35,-0.62
201403,34.40,-0.75
201404,38.72,-0.40
201405,43.23,-0.10
201406,47.62,0.10
201407,51.29,0.04
201408,53.90,0.05
201409,55.26,0.19
201410,55.43,0.46
201411,53.96,0.19
201412,52.53,0.52
201501,33.08,2.96
201502,33.04,1.07
201503,37.15,2.00
201504,41.17,2.05
201505,45.10,1.77
201506,49.47,1.95
201507,52.96,1.71
201508,55.45,1.60
201509,56.90,1.83
201510,56.94,1.97
201511,55.81,2.04
201512,54.38,2.37
201601,32.22,2.10
201602,35.85,3.88
201603,39.72,4.57
201604,43.09,3.97
201605,46.53,3.20
201606,50.74,3.22
201607,54.23,2.98
201608,56.64,2.79
201609,57.80,2.73
201610,57.79,2.82
201611,56.90,3.13
201612,54.90,2.89
201701,33.57,3.45
201702,37.37,5.40
201703,40.29,5.14
201704,43.66,4.54
201705,47.04,3.71
201706,50.92,3.40
201707,54.46,3.21
201708,56.65,2.80
201709,57.72,2.65
201710,57.51,2.54
201711,56.38,2.61
201712,54.54,2.53
201801,32.16,2.04
201802,33.84,1.87
201803,36.80,1.65
201804,39.85,0.73
201805,44.98,1.65
201806,49.41,1.89
201807,53.12,1.87
201808,55.67,1.82
201809,56.99,1.92
201810,56.66,1.69
201811,55.14,1.37
201812,53.51,1.50
201901,32.56,2.44
201902,32.20,0.23
201903,34.89,-0.26
201904,39.38,0.26
201905,43.40,0.07
201906,47.62,0.10
201907,51.47,0.22
201908,54.25,0.40
201909,55.82,0.75
201910,55.45,0.48
201911,54.14,0.37
201912,52.66,0.65
202001,35.53,5.41
202002,35.85,3.88
202003,39.26,4.11
202004,42.16,3.04
202005,45.90,2.57
202006,49.97,2.45
202007,53.63,2.38
202008,56.26,2.41
202009,57.33,2.26
202010,57.03,2.06
202011,56.05,2.28
202012,54.36,2.35
202101,34.59,4.47
202102,32.60,0.63
202103,36.91,1.76
202104,40.64,1.52
202105,44.58,1.25
202106,49.25,1.73
202107,52.98,1.73
202108,55.60,1.75
202109,56.96,1.89
202110,56.96,1.99
202111,55.88,2.11
202112,54.50,2.49
202201,31.17,1.05
202202,32.42,0.45
202203,36.30,1.15
202204,39.90,0.78
202205,44.30,0.97
202206,48.72,1.20
202207,52.67,1.42
202208,55.41,1.56
202209,56.81,1.74
202210,56.65,1.68
202211,55.22,1.45
202212,53.38,1.37
202301,35.11,4.99
202302,35.76,3.79
202303,37.37,2.22
202304,40.86,1.74
202305,45.16,1.83
202306,49.14,1.62
202307,52.92,1.67
202308,55.60,1.75
202309,56.95,1.88
202310,56.86,1.89
202311,55.72,1.95
202312,54.39,2.38
202401,31.93,1.81
202402,36.40,4.43
202403,39.27,4.12
202404,42.86,3.74
202405,46.75,3.42
202406,50.93,3.41
