,line_type,glac_id,anlys_time,src_date,db_area,min_elev,mean_elev,max_elev,primeclass,rec_status,release_dt,gone_date,glac_name,glac_stat,proc_desc,geog_area,conn_lvl,surge_type,term_type,gtng_o1reg,gtng_o2reg,rgi_gl_typ,cluster
42930,glac_bound,G207293E62414N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,1,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
42439,glac_bound,G213728E61274N,1263513600,1184544000,0.177109,0,0,0,0,okay,1269471019,e,1,exists,Manually digitized. Glacier divides determined using watershed algorithm developed by C. Klenholz; Glacier extent digitized manually from satellite imagery. Glacier flow divides automatically delineated using a DEM.,Alaska,0,0,9,1,4,0,25
43053,glac_bound,G207492E62417N,1262304000,1060387200,0,0,0,0,0,okay,1299393082,e,10,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,59
39209,glac_bound,G209419E63037N,1302825600,-473385600,0.017771,0,0,0,0,okay,1305230445,e,10,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
43234,glac_bound,G209936E63244N,1262304000,1060387200,0.299353,0,0,0,0,okay,1299393082,e,100,exists,"Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Central Alaska Range glaciers were manually digitized from Landsat 7 ETM+ and Landsat 5 imagery acquired from 2003 to 2010, with additional reference to USGS topographic maps, IKONOS imagery, Google Earth, and oblique photos. Glacier flow basin delineation was aided by an algorithm developed by C. Kienholz. Elevation data used was from the USGS NED DEM. Errors in the algorithm output were manually corrected.",Alaska,0,0,9,1,2,0,47
38676,glac_bound,G208468E62607N,1302825600,-536457600,0.094546,0,0,0,0,okay,1305230445,e,100,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,12
39911,glac_bound,G223862E59237N,1262304000,1284595200,0.005203,0,0,0,0,okay,1313438640,e,1002,exists,"Automated and manual digitizing. Basin delineation was aided by an algorithm developed by C. Kienholz.; Landsat ETM+ images (LE70590192010259EDC00 and LE70600192010266EDC01) were downloaded from the USGS Earth Explorer (http://edcsns17.cr.usgs.gov/NewEarthExplorer/) and run through a de-striping algorithm.  This algorithm uses a 7x7 moving window to fill in the missing data based on weighted averages.  This does not fix the data but does create a continuous dataset needed for the automated analysis.  Landsat ETM+ scenes were used to run an automated analysis that used a band3/band5 ratio, a thermal image converted from radiance to surface temperature and NDVI, in order to capture ice extent.  This worked well at identifying bare ice but ran into problems with heavily debris covered ice.  Extensive manual digitizing of the automated dataset was carried out in order to fix mis-classified areas and capture debris covered ice.  The resulting dataset was run through a script (written by Christian Kienholz, University of Bern, 2009-09-18) which delineated glaciers by drainage basin based on the National Elevation Dataset.  The resulting basins were then manually edited to fix errors and better represent reality.",Alaska,0,0,9,1,6,0,51
40722,glac_bound,G209708E63230N,1302825600,-599616000,0,0,0,0,0,okay,1305230445,e,1002,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
39805,glac_bound,G224554E58937N,1262304000,1284595200,0.017268,0,0,0,0,okay,1313438640,e,1005,exists,"Automated and manual digitizing. Basin delineation was aided by an algorithm developed by C. Kienholz.; Landsat ETM+ images (LE70590192010259EDC00 and LE70600192010266EDC01) were downloaded from the USGS Earth Explorer (http://edcsns17.cr.usgs.gov/NewEarthExplorer/) and run through a de-striping algorithm.  This algorithm uses a 7x7 moving window to fill in the missing data based on weighted averages.  This does not fix the data but does create a continuous dataset needed for the automated analysis.  Landsat ETM+ scenes were used to run an automated analysis that used a band3/band5 ratio, a thermal image converted from radiance to surface temperature and NDVI, in order to capture ice extent.  This worked well at identifying bare ice but ran into problems with heavily debris covered ice.  Extensive manual digitizing of the automated dataset was carried out in order to fix mis-classified areas and capture debris covered ice.  The resulting dataset was run through a script (written by Christian Kienholz, University of Bern, 2009-09-18) which delineated glaciers by drainage basin based on the National Elevation Dataset.  The resulting basins were then manually edited to fix errors and better represent reality.",Alaska,0,0,9,1,6,0,51
39716,glac_bound,G209744E63158N,1302825600,-599616000,0,0,0,0,0,okay,1305230445,e,1005,exists,Manually digitized. Basin delineation was aided by an algorithm developed by C. Kienholz.; Manual digitizing of digital raster graphics (DRG).  DRGs were obtained from Alaska Mapped (http://www.alaskamapped.org/) provided by the Geographic Information Network of Alaska.,Alaska,0,0,9,1,2,0,95
