,Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F
0,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
1,Marvine/Hayden Glacier,Exists,297.56,N/A,59.96069,-140.10202,2007-08-01,55.43
2,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
3,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
4,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
5,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
6,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
7,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
8,Brady Glacier,Exists,495.176,N/A,58.385483,-136.675873,2006-05-01,46.77
9,Finger Glacier,Exists,35.4017,N/A,58.457594,-137.162412,2006-05-01,46.77
10,Finger Glacier,Exists,35.4017,N/A,58.457594,-137.162412,2006-05-01,46.77
11,Finger Glacier,Exists,35.4017,N/A,58.457594,-137.162412,2006-05-01,46.77
12,Finger Glacier,Exists,35.4017,N/A,58.457594,-137.162412,2006-05-01,46.77
13,La Perouse Glacier,Exists,113.703,N/A,58.52018,-137.328166,2006-05-01,46.77
14,La Perouse Glacier,Exists,113.703,N/A,58.52018,-137.328166,2006-05-01,46.77
15,La Perouse Glacier,Exists,113.703,N/A,58.52018,-137.328166,2006-05-01,46.77
16,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
17,Steller Glacier,Exists,741.556,N/A,60.296987,-143.870037,2006-04-01,42.9
18,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
19,Seward Glacier,Exists,3211.8,N/A,59.92591,-140.23062,2007-04-01,40.49
20,Tweedsmuir Glacier,Exists,501.581,N/A,59.831715,-138.149354,2007-11-01,55.5
21,East Nunatak Glacier,Exists,70.7577,N/A,59.786135,-138.772752,2007-05-01,44.85
22,East Nunatak Glacier,Exists,70.7577,N/A,59.786135,-138.772752,2007-05-01,44.85
23,Tweedsmuir Glacier,Exists,501.581,N/A,59.831715,-138.149354,2007-11-01,55.5
24,East Nunatak Glacier,Exists,70.7577,N/A,59.786135,-138.772752,2007-05-01,44.85
25,Hidden Glacier,Exists,55.2523,N/A,59.735487,-139.151114,2007-05-01,44.85
26,West Nunatak Glacier,Exists,87.6204,N/A,59.750394,-138.915651,2007-05-01,44.85
27,East Yakutat Glacier,Exists,359.025,N/A,59.50512,-138.72468,2007-05-01,44.85
28,East Yakutat Glacier,Exists,359.025,N/A,59.50512,-138.72468,2007-05-01,44.85
29,East Yakutat Glacier,Exists,359.025,N/A,59.50512,-138.72468,2007-05-01,44.85
30,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
31,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
32,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
33,Hubbard Glacier,Exists,2910.92,N/A,60.002244,-139.36059,2007-08-01,55.43
34,Novatak Glacier,Exists,126.185,N/A,59.421213,-138.38592,2007-05-01,44.85
35,Novatak Glacier,Exists,126.185,N/A,59.421213,-138.38592,2007-05-01,44.85
36,Novatak Glacier,Exists,126.185,N/A,59.421213,-138.38592,2007-05-01,44.85
37,Novatak Glacier,Exists,126.185,N/A,59.421213,-138.38592,2007-05-01,44.85
38,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
39,Carroll Glacier,Exists,400.86,N/A,59.028904,-136.459499,2007-04-01,40.49
40,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
41,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
42,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
43,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
44,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
45,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
46,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
47,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
48,Lamplugh Glacier,Exists,133.881,N/A,58.874451,-136.935832,2006-05-01,46.77
49,Lamplugh Glacier,Exists,133.881,N/A,58.874451,-136.935832,2006-05-01,46.77
50,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
51,Johns Hopkins Glacier,Exists,162.882,N/A,58.805875,-137.260638,2006-05-01,46.77
52,Grand Plateau Glacier,Exists,383.689,N/A,58.98445,-137.91017,2007-04-01,40.49
53,Hayden,Exists,73.4037,N/A,59.978541,-140.019668,2007-10-01,56.65
54,Blossom Glacier,Exists,7.73568,N/A,60.007745,-140.090472,2007-10-01,56.65
55,Hubbard Glacier,Exists,2910.92,N/A,60.002244,-139.36059,2007-08-01,55.43
56,Bering Glacier,Exists,3629.47,N/A,60.43403,-143.01148,2007-04-01,40.49
57,Martin River Glacier,Exists,349.102,N/A,60.51844,-144.01596,2007-03-01,37.13
58,Miles Glacier,Exists,382.882,N/A,60.67431,-144.58396,2007-04-01,40.49
59,Miles Glacier,Exists,382.882,N/A,60.67431,-144.58396,2007-04-01,40.49
