,line_type,area,glac_id,anlys_time,db_area,min_elev,mean_elev,max_elev,src_date,glac_name,glac_stat,gone_date,release_dt,first_coordinate,lng,lat,cluster,closest_cluster_lat,closest_cluster_lng
0,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.675873,58.385483",-136.675873,58.385483,27,58.95513173736264,-136.54102207362638
1,dc,0,G219795E60080N,1186713213,297.56,0,0,0,995500800,Marvine/Hayden Glacier,e,e,1192067393,"-140.10202,59.96069",-140.10202,59.96069,38,59.872209067499995,-139.311546645
2,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.260638,58.805875",-137.260638,58.805875,48,58.79177845362319,-137.32780668695654
3,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.662581,58.464275",-136.662581,58.464275,27,58.95513173736264,-136.54102207362638
4,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.652551,58.490007",-136.652551,58.490007,27,58.95513173736264,-136.54102207362638
5,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.851804,58.480757",-136.851804,58.480757,27,58.95513173736264,-136.54102207362638
6,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.671894,58.488903",-136.671894,58.488903,27,58.95513173736264,-136.54102207362638
7,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.618447,58.448369",-136.618447,58.448369,27,58.95513173736264,-136.54102207362638
8,dc,0,G223237E58554N,1148543303,495.176,0,0,0,933465600,Brady Glacier,e,e,1177210698,"-136.651831,58.426054",-136.651831,58.426054,27,58.95513173736264,-136.54102207362638
9,dc,0,G222888E58501N,1149049287,35.4017,0,0,0,933465600,Finger Glacier,e,e,1150232094,"-137.162412,58.457594",-137.162412,58.457594,48,58.79177845362319,-137.32780668695654
10,dc,0,G222888E58501N,1149049287,35.4017,0,0,0,933465600,Finger Glacier,e,e,1150232094,"-137.199596,58.467831",-137.199596,58.467831,48,58.79177845362319,-137.32780668695654
